LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR	address
5	total
. 	O
S&Y STATIONERY 	company
NO. 36G JALAN BULAN BM U5/BM, BANDAR PINGGIRAN SUBANG, SEKSYEN U5, 40150 SHAH ALAM, SELANGOR.	address
72	total
. 	O
99 SPEED MART S/B 	company
LOT P.T. 2811, JALAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELANGOR	address
37.45	total
. 	O
ENW HARDWARE CENTRE (M) SDN. BHD. 	company
NO: G3, BLK G, JLN PJU 1A/3, ARA DAMANSARA, 47301 PETALING JAYA, SELANGOR DARUL EHSAN.	address
27	total
. 	O
ENW HARDWARE CENTRE (M) SDN. BHD. 	company
NO: G3, BLK G, JLN PJU 1A/3, ARA DAMANSARA, 47301 PETALING JAYA, SELANGOR DARUL EHSAN.	address
156	total
. 	O
UNIHAKKA INTERNATIONAL SDN BHD 	company
12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR	address
$11.20 	total
. 	O
FARMASI LIGAMAS 	company
NO. 47, JALAN MERANTI 1A, BANDAR BARU UTAMA, 44300 BATANG KALI, SELANGOR.	address
25	total
. 	O
OLD TOWN KOPITIAM SDN BHD 	company
NO,35, JALAN KEBUDAYAAN 8, TAMAN UNIVERSITY,81300 SKUDAI, JOHOR	address
28.5	total
. 	O
DIMILIKI OLEH : DOVE HOLDINGS SDN BHD 	company
LOT S25, AEON TEBRAU CITY JUSCO NO 1, JLN DESA TEBRAU, TMN DESA TEBRAU, 81100 JOHOR BAHRU, JOHOR	address
164.8	total
. 	O
GERBANG ALAF RESTAURANTS SDN BHD 	company
LEVEL 6, BANGUNAN TH, DAMANSARA UPTOWN3 NO.3, JALAN SS21/39,47400 PETALING JAYA SELANGOR	address
70.3	total
. 	O
WARAKUYA PERMAS CITY SDN BHD 	company
JALAN PERMAS UTARA 1, PERMAS JAYA 81750 MASAI JOHOR	address
24.4	total
. 	O
THE MARCO POLO KITCH BUKIT INDAH 	company
NO 35,JALAN INDAH 15/2,BUKIT INDAH 81200 JOHOR BAHRU,JOHOR	address
15.15	total
. 	O
SWC ENTERPRISE SDN BHD 	company
5-7, JALAN MAHAGONI 7/1 SEKSYEN 4, BANDAR UTAMA, 44300 BATANG KALI, SELANGOR	address
41.2	total
. 	O
SANYU STATIONERY SHOP 	company
NO. 31G&33G, JALAN SETIA INDAH X ,U13/X 40170 SETIA ALAM	address
35	total
. 	O
SANYU STATIONERY SHOP 	company
NO. 31G&33G, JALAN SETIA INDAH X ,U13/X 40170 SETIA ALAM	address
14.9	total
. 	O
SANYU STATIONERY SHOP 	company
NO. 31G&33G, JALAN SETIA INDAH X ,U13/X 40170 SETIA ALAM	address
8.7	total
. 	O
SANYU STATIONERY SHOP 	company
NO. 31G&33G, JALAN SETIA INDAH X ,U13/X 40170 SETIA ALAM	address
8.7	total
. 	O
ENW HARDWARE CENTRE (M) SDN. BHD. 	company
NO: G3, BLK G, JLN PJU 1A/3, ARA DAMANSARA, 47301 PETALING JAYA, SELANGOR DARUL EHSAN.	address
51	total
. 	O
DIMILIKI OLEH T PLUS F&B SDN. BHD. 	company
PARADIGM MALL LOT NO.: 4F-27 & 4FK-38, 4TH FLOOR	address
9.45	total
. 	O
KFA SUPPLY 	company
125A TINGKAT BAWAH PT 1961 JALAN MALINJA SITE B 45400 SEKINCHAN SELANGOR 	address
11.6	total
. 	O
UNIHAKKA INTERNATIONAL SDN BHD 	company
12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR	address
$8.70 	total
. 	O
MR. D.I.Y. (M) SDN BHD 	company
LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR	address
23	total
. 	O
SANYU STATIONERY SHOP 	company
NO. 31G&33G, JALAN SETIA INDAH X ,U13/X 40170 SETIA ALAM	address
3	total
. 	O
SANYU STATIONERY SHOP 	company
NO. 31G&33G, JALAN SETIA INDAH X ,U13/X 40170 SETIA ALAM	address
2	total
. 	O
SANYU STATIONERY SHOP 	company
NO. 31G&33G, JALAN SETIA INDAH X ,U13/X 40170 SETIA ALAM	address
43.7	total
. 	O
SANYU STATIONERY SHOP 	company
NO. 31G&33G, JALAN SETIA INDAH X ,U13/X 40170 SETIA ALAM	address
14.9	total
. 	O
SANYU STATIONERY SHOP 	company
NO. 31G&33G, JALAN SETIA INDAH X ,U13/X 40170 SETIA ALAM	address
3	total
. 	O
SANYU STATIONERY SHOP 	company
NO. 31G&33G, JALAN SETIA INDAH X ,U13/X 40170 SETIA ALAM	address
2	total
. 	O
SANYU STATIONERY SHOP 	company
NO. 31G&33G, JALAN SETIA INDAH X ,U13/X 40170 SETIA ALAM	address
12.4	total
. 	O
SANYU STATIONERY SHOP 	company
NO. 31G&33G, JALAN SETIA INDAH X ,U13/X 40170 SETIA ALAM	address
12	total
. 	O
SANYU STATIONERY SHOP 	company
NO. 31G&33G, JALAN SETIA INDAH X ,U13/X 40170 SETIA ALAM	address
8.7	total
. 	O
SANYU STATIONERY SHOP 	company
NO. 31G&33G, JALAN SETIA INDAH X ,U13/X 40170 SETIA ALAM	address
9.3	total
. 	O
SANYU STATIONERY SHOP 	company
NO. 31G&33G, JALAN SETIA INDAH X ,U13/X 40170 SETIA ALAM	address
8.7	total
. 	O
SANYU STATIONERY SHOP 	company
NO. 31G&33G, JALAN SETIA INDAH X ,U13/X 40170 SETIA ALAM	address
8.7	total
. 	O
SANYU STATIONERY SHOP 	company
NO. 31G&33G, JALAN SETIA INDAH X ,U13/X 40170 SETIA ALAM	address
46.9	total
. 	O
SANYU STATIONERY SHOP 	company
NO. 31G&33G, JALAN SETIA INDAH X ,U13/X 40170 SETIA ALAM	address
10	total
. 	O
SANYU STATIONERY SHOP 	company
NO. 31G&33G, JALAN SETIA INDAH X ,U13/X 40170 SETIA ALAM	address
8.7	total
. 	O
SANYU STATIONERY SHOP 	company
NO. 31G&33G, JALAN SETIA INDAH X ,U13/X 40170 SETIA ALAM 	address
16.5	total
. 	O
SANYU STATIONERY SHOP 	company
NO. 31G&33G, JALAN SETIA INDAH X ,U13/X 40170 SETIA ALAM	address
8.7	total
. 	O
SANYU STATIONERY SHOP 	company
NO. 31G&33G, JALAN SETIA INDAH X ,U13/X 40170 SETIA ALAM	address
4.5	total
. 	O
SANYU STATIONERY SHOP 	company
NO. 31G&33G, JALAN SETIA INDAH X ,U13/X 40170 SETIA ALAM	address
8.7	total
. 	O
SANYU STATIONERY SHOP 	company
NO. 31G&33G, JALAN SETIA INDAH X ,U13/X 40170 SETIA ALAM	address
35	total
. 	O
SANYU STATIONERY SHOP 	company
NO. 31G&33G, JALAN SETIA INDAH X ,U13/X 40170 SETIA ALAM	address
33.6	total
. 	O
SANYU STATIONERY SHOP 	company
NO. 31G&33G, JALAN SETIA INDAH X ,U13/X 40170 SETIA ALAM	address
5	total
. 	O
SANYU STATIONERY SHOP 	company
NO. 31G&33G, JALAN SETIA INDAH X ,U13/X 40170 SETIA ALAM	address
8.7	total
. 	O
SANYU STATIONERY SHOP 	company
NO. 31G&33G, JALAN SETIA INDAH X ,U13/X 40170 SETIA ALAM	address
5	total
. 	O
SANYU STATIONERY SHOP 	company
NO. 31G&33G, JALAN SETIA INDAH X ,U13/X 40170 SETIA ALAM	address
9.3	total
. 	O
AIK HUAT HARDWARE ENTERPRISE (SETIA ALAM) SDN BHD 	company
NO. 17-G, JALAN SETIA INDAH (X) U13/X, SETIA ALAM, SEKSYEN U13, 40170 SHAH ALAM,	address
16	total
. 	O
FY EAGLE ENTERPRISE 	company
NO. 42, JALAN PBS 14/11, TAMAN PERINDUSTRIAN BUKIT SERDANG, 43300 SERI KEMBANGAN, SELANGOR	address
52	total
. 	O
MYNEWS RETAIL SB 	company
UNIT 105, BLOCK A,PUSAT DAGANGAN PHILEO DAMANSARA, NO.9, JALAN 16/11,,46350,PETALING JAYA,SELANGOR	address
6	total
. 	O
AIK HUAT HARDWARE ENTERPRISE (SETIA ALAM) SDN BHD 	company
NO. 17-G, JALAN SETIA INDAH (X) U13/X, SETIA ALAM, SEKSYEN U13, 40170 SHAH ALAM,	address
2.5	total
. 	O
AIK HUAT HARDWARE ENTERPRISE (SETIA ALAM) SDN BHD 	company
NO. 17-G, JALAN SETIA INDAH (X) U13/X, SETIA ALAM, SEKSYEN U13, 40170 SHAH ALAM,	address
28	total
. 	O
SANYU STATIONERY SHOP 	company
NO. 31G&33G, JALAN SETIA INDAH X ,U13/X 40170 SETIA ALAM	address
3.9	total
. 	O
